Code,Chapter,Category,Subcategory,Level 2,Description
"Y35.403A","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Legal intervention involving unspecified sharp objects, suspect injured, initial encounter"
"R89.1","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Abnormal level of hormones in specimens from other organs, systems and tissues"
"T24.012S","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of unspecified degree of left thigh, sequela"
"V95.49XA","External causes of morbidity","Transport accidents","-","-","Other spacecraft accident injuring occupant, initial encounter"
"V95.49XD","External causes of morbidity","Transport accidents","-","-","Other spacecraft accident injuring occupant, subsequent encounter"
"Y35.402D","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Legal intervention involving unspecified sharp objects, bystander injured, subsequent encounter"
"T24.012A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of unspecified degree of left thigh, initial encounter"
"T24.012D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of unspecified degree of left thigh, subsequent encounter"
"Y35.401S","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Legal intervention involving unspecified sharp objects, law enforcement official injured, sequela"
"L53.3","Diseases of the skin and subcutaneous tissue","Urticaria and erythema","-","-","Other chronic figurate erythema"
"L53.2","Diseases of the skin and subcutaneous tissue","Urticaria and erythema","-","-","Erythema marginatum"
"Y35.402A","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Legal intervention involving unspecified sharp objects, bystander injured, initial encounter"
"L53.1","Diseases of the skin and subcutaneous tissue","Urticaria and erythema","-","-","Erythema annulare centrifugum"
"L53.0","Diseases of the skin and subcutaneous tissue","Urticaria and erythema","-","-","Toxic erythema"
"T24.011S","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of unspecified degree of right thigh, sequela"
"V29.818A","External causes of morbidity","Transport accidents","-","-","Rider (driver) (passenger) of other motorcycle injured in transport accident with military vehicle, initial encounter"
"L53.9","Diseases of the skin and subcutaneous tissue","Urticaria and erythema","-","-","Erythematous condition, unspecified"
"L53.8","Diseases of the skin and subcutaneous tissue","Urticaria and erythema","-","-","Other specified erythematous conditions"
"V29.818D","External causes of morbidity","Transport accidents","-","-","Rider (driver) (passenger) of other motorcycle injured in transport accident with military vehicle, subsequent encounter"
"Y35.401D","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Legal intervention involving unspecified sharp objects, law enforcement official injured, subsequent encounter"
"T24.011D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of unspecified degree of right thigh, subsequent encounter"
"T24.011A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of unspecified degree of right thigh, initial encounter"
"S01.551A","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Open bite of lip, initial encounter"
"S98.922S","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Partial traumatic amputation of left foot, level unspecified, sequela"
"S01.551D","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Open bite of lip, subsequent encounter"
"S02.31XS","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Fracture of orbital floor, right side, sequela"
"S98.922D","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Partial traumatic amputation of left foot, level unspecified, subsequent encounter"
"S98.922A","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Partial traumatic amputation of left foot, level unspecified, initial encounter"
"S02.31XK","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Fracture of orbital floor, right side, subsequent encounter for fracture with nonunion"
"S01.551S","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Open bite of lip, sequela"
"S02.31XG","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Fracture of orbital floor, right side, subsequent encounter for fracture with delayed healing"
"V29.811A","External causes of morbidity","Transport accidents","-","-","Electric (assisted) bicycle rider (driver) (passenger) injured in transport accident with military vehicle, initial encounter"
"S02.31XD","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Fracture of orbital floor, right side, subsequent encounter for fracture with routine healing"
"S02.31XB","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Fracture of orbital floor, right side, initial encounter for open fracture"
"V29.811D","External causes of morbidity","Transport accidents","-","-","Electric (assisted) bicycle rider (driver) (passenger) injured in transport accident with military vehicle, subsequent encounter"
"S02.31XA","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Fracture of orbital floor, right side, initial encounter for closed fracture"
"S98.921S","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Partial traumatic amputation of right foot, level unspecified, sequela"
